"GCA_access"	"all_G4"	"spare_G4"	"Name"	"genus"	"species"	"n1"	"n2"	"genome_size_mb"	"GC"	"Genes"	"Proteins"	"G4_density"	"spare_percentage"	"protein_density"
"GCA_000346125.2"	3195	1180	"Meiothermus ruber H328"	"Meiothermus"	"ruber"	"H328"	NA	3.02929	63.5	"3017"	2857	1054.70258707486	36.9327073552426	943.125286783372
"GCA_000348665.1"	2531	854	"Deinococcus wulumuqiensis R12"	"Deinococcus"	"wulumuqiensis"	"R12"	NA	3.39078	66.3	"3283"	3125	746.435923297884	33.7416041090478	921.616855118881
"GCA_000373145.1"	6744	2947	"Thermus oshimai DSM 12092"	"Thermus"	"oshimai"	"DSM"	"12092"	2.26095	68.7	"2406"	2298	2982.81695747363	43.6981020166074	1016.38691700391
"GCA_000373205.1"	3368	1159	"Meiothermus timidus DSM 17022"	"Meiothermus"	"timidus"	"DSM"	"17022"	3.19063	65.3	"3132"	3021	1055.59090211024	34.4121140142518	946.834951091164
"GCA_000376265.1"	6140	2651	"Thermus igniterrae ATCC 700962"	"Thermus"	"igniterrae"	"ATCC"	"700962"	2.22598	68.8	"2382"	2228	2758.3356544084	43.1758957654723	1000.90746547588
"GCA_000376665.1"	3124	1106	"Meiothermus ruber DSM 1279"	"Meiothermus"	"ruber"	"DSM"	"1279"	3.09888	63.4	"3099"	3015	1008.10615448162	35.4033290653009	972.932156133829
"GCA_000378445.1"	2651	849	"Deinococcus aquatilis DSM 23025"	"Deinococcus"	"aquatilis"	"DSM"	"23025"	5.00329	62.1	"4694"	4430	529.851357806563	32.0256506978499	885.417395353857
"GCA_000381045.1"	4062	1538	"Thermus scotoductus DSM 8553"	"Thermus"	"scotoductus"	"DSM"	"8553"	2.0707	64.8	"2277"	2062	1961.65547882359	37.863121614968	995.798522238856
"GCA_000381345.1"	5615	2118	"Deinococcus apachensis DSM 19763"	"Deinococcus"	"apachensis"	"DSM"	"19763"	4.45264	68.7	"4300"	4123	1261.04962449244	37.7203918076581	925.967515900679
"GCA_000401495.1"	5745	2472	"Thermus thermophilus ATCC 33923"	"Thermus"	"thermophilus"	"ATCC"	"33923"	2.14666	69.4	"2343"	2152	2676.25054736195	43.0287206266319	1002.48758536517
"GCA_000419625.1"	4058	1664	"Deinococcus sp. 2009"	"Deinococcus"	"sp."	"2009"	NA	4.01938	69.7	"3800"	3670	1009.60844707393	41.0054213898472	913.07614607228
"GCA_000421625.1"	5911	2545	"Thermus islandicus DSM 21543"	"Thermus"	"islandicus"	"DSM"	"21543"	2.26301	68.4	"2439"	2232	2612.00790098144	43.0553205887329	986.29701150238
"GCA_000423425.1"	3379	1216	"Meiothermus rufus DSM 22234"	"Meiothermus"	"rufus"	"DSM"	"22234"	2.74708	63.1	"2813"	2582	1230.0333444967	35.9869783959751	939.907101358533
"GCA_000423905.1"	4254	1643	"Thermus antranikianii DSM 12462"	"Thermus"	"antranikianii"	"DSM"	"12462"	2.16515	64.8	"2313"	2178	1964.75994734776	38.6224729666197	1005.93492367734
"GCA_000430045.1"	6507	2505	"Meiothermus chliarophilus DSM 9957"	"Meiothermus"	"chliarophilus"	"DSM"	"9957"	4.68896	68.9	"4509"	4161	1387.72776905753	38.4970032272937	887.403603357674
"GCA_000430865.1"	4214	1725	"Deinococcus ficus DSM 19119"	"Deinococcus"	"ficus"	"DSM"	"19119"	4.14456	70	"4022"	3888	1016.75449263613	40.9349786426198	938.097168336325
"GCA_000478785.1"	2478	839	"Deinococcus wulumuqiensis R13"	"Deinococcus"	"wulumuqiensis"	"R13"	NA	3.28878	66.5	"3145"	2986	753.470891941693	33.8579499596449	907.93546543095
"GCA_000482765.1"	3173	1109	"Meiothermus taiwanensis DSM 14542"	"Meiothermus"	"taiwanensis"	"DSM"	"14542"	3.02062	63.5	"3007"	2824	1050.44659705623	34.9511503309171	934.907403115917
"GCA_000482805.1"	4167	1723	"Deinococcus murrayi DSM 11303"	"Deinococcus"	"murrayi"	"DSM"	"11303"	2.76761	69.4	"2710"	2570	1505.6312124902	41.3486921046316	928.59904394044
"GCA_000494685.1"	108	33	"Deinococcus-Thermus bacterium JGI 0000112-G17"	"Deinococcus-Thermus"	"bacterium"	"JGI"	"0000112-G17"	0.82054	58.4	"-"	NA	131.620640066298	30.5555555555556	NA
"GCA_000511705.1"	4654	1792	"Thermus sp. NMX2.A1"	"Thermus"	"sp."	"NMX2.A1"	NA	2.29271	65.3	"2482"	2309	2029.91219997296	38.504512247529	1007.10512886497
"GCA_000519345.1"	2604	906	"Deinococcus pimensis DSM 21231"	"Deinococcus"	"pimensis"	"DSM"	"21231"	4.76581	69.3	"5030"	4081	546.39190399953	34.7926267281106	856.307742020769
"GCA_000599865.1"	4144	1544	"Deinococcus phoenicis"	"Deinococcus"	"phoenicis"	NA	NA	3.80714	69	"3724"	3586	1088.481117059	37.2586872586873	941.914402937638
"GCA_000620065.1"	2442	792	"Meiothermus cerbereus DSM 11376"	"Meiothermus"	"cerbereus"	"DSM"	"11376"	3.03482	61.4	"2965"	2827	804.660572949961	32.4324324324324	931.52147409072
"GCA_000685985.1"	1953	639	"Deinococcus radiodurans DSM 20539"	"Deinococcus"	"radiodurans"	"DSM"	"20539"	3.24181	66.8	"3287"	3028	602.441228819703	32.7188940092166	934.04610387407
"GCA_000687895.1"	1957	641	"Deinococcus radiodurans ATCC 13939"	"Deinococcus"	"radiodurans"	"ATCC"	"13939"	3.24071	66.8	"3282"	3030	603.880013947561	32.7542156361778	934.980297527394
"GCA_000701405.1"	2837	965	"Deinococcus marmoris DSM 12784"	"Deinococcus"	"marmoris"	"DSM"	"12784"	4.80002	64.4	"4612"	4297	591.039204003317	34.0148043708142	895.204603314153
"GCA_000701425.1"	2639	879	"Deinococcus frigens DSM 12807"	"Deinococcus"	"frigens"	"DSM"	"12807"	4.03178	65.4	"3980"	3700	654.549603400979	33.3080712391057	917.708803555749
"GCA_000708185.1"	4232	1725	"Deinococcus sp. RL"	"Deinococcus"	"sp."	"RL"	NA	2.79207	69.4	"2736"	2605	1515.72131071212	40.7608695652174	932.999530814056
"GCA_000744155.1"	5063	2013	"Thermus scotoductus KI2"	"Thermus"	"scotoductus"	"KI2"	NA	2.47568	65.5	"2650"	2401	2045.09468105733	39.7590361445783	969.834550507335
"GCA_000744175.1"	5677	2326	"Thermus tengchongensis YIM 77401"	"Thermus"	"tengchongensis"	"YIM"	"77401"	2.56231	66.4	"2741"	2506	2215.57891121683	40.9723445481769	978.023736394113
"GCA_000744885.1"	5557	2403	"Thermus amyloliquefaciens"	"Thermus"	"amyloliquefaciens"	NA	NA	2.16086	67.4	"2300"	2071	2571.66128300769	43.2427568832104	958.414705256241
"GCA_000745065.1"	4962	2070	"Thermus caliditerrae"	"Thermus"	"caliditerrae"	NA	NA	2.21811	67.2	"2319"	2196	2237.03964185726	41.7170495767836	990.032054316513
"GCA_000745175.1"	2445	835	"Deinococcus sp. YIM 77859"	"Deinococcus"	"sp."	"YIM"	"77859"	3.16952	67.5	"3103"	2966	771.410181983392	34.1513292433538	935.788384361039
"GCA_000745915.1"	1580	424	"Deinococcus misasensis DSM 22328"	"Deinococcus"	"misasensis"	"DSM"	"22328"	5.07829	55.2	"4991"	4810	311.128352260308	26.8354430379747	947.169224286128
"GCA_000771745.2"	6362	2690	"Thermus filiformis"	"Thermus"	"filiformis"	NA	NA	2.38608	69	"2402"	2271	2666.29786092671	42.2823011631562	951.7702675518
"GCA_000785645.1"	3047	1062	"Meiothermus ruber"	"Meiothermus"	"ruber"	NA	NA	3.02346	63.2	"2993"	2850	1007.78578185258	34.8539547095504	942.62864400389
"GCA_000794385.1"	5855	2416	"Thermus sp. 2.9"	"Thermus"	"sp."	"2.9"	NA	2.40418	67.3	"2623"	2324	2435.34177973363	41.263877028181	966.649751682486
"GCA_000800395.1"	2430	847	"Deinococcus swuensis"	"Deinococcus"	"swuensis"	NA	NA	3.53144	67.4	"3335"	3217	688.104569240876	34.8559670781893	910.95983508144
"GCA_000836395.1"	3101	1086	"Meiothermus ruber"	"Meiothermus"	"ruber"	NA	NA	2.9681	63.5	"2959"	2757	1044.77611940298	35.0209609803289	928.877059398268
"GCA_001007995.1"	3301	1322	"Deinococcus soli Cha et al. 2016"	"Deinococcus"	"soli"	"Cha"	"et"	3.23698	70.2	"3146"	3055	1019.77769402344	40.0484701605574	943.780931609092
"GCA_001280255.1"	5709	2363	"Thermus aquaticus"	"Thermus"	"aquaticus"	NA	NA	2.24879	67.8	"2422"	2189	2538.69858901898	41.3907864774917	973.412368429244
"GCA_001294665.1"	4801	1931	"Thermus scotoductus"	"Thermus"	"scotoductus"	NA	NA	2.37964	65.2	"2542"	2096	2017.5320636735	40.2207873359717	880.805499991595
"GCA_001311545.1"	5796	2379	"Thermus kawarayensis JCM 12314"	"Thermus"	"kawarayensis"	"JCM"	"12314"	2.31549	68.1	"-"	NA	2503.1418835754	41.0455486542443	NA
"GCA_001311585.1"	5452	2186	"Thermus sp. JCM 17653"	"Thermus"	"sp."	"JCM"	"17653"	2.22036	68	"-"	NA	2455.45767353042	40.0953778429934	NA
"GCA_001399775.1"	5881	2432	"Thermus aquaticus Y51MC23"	"Thermus"	"aquaticus"	"Y51MC23"	NA	2.33864	68.0413	"2529"	2394	2514.70940375603	41.3535113076007	1023.67187767249
"GCA_001413985.1"	3395	1348	"Deinococcus sp. UR1"	"Deinococcus"	"sp."	"UR1"	NA	3.89481	68.9	"3856"	2387	871.672815875486	39.7054491899853	612.866866419671
"GCA_001424185.1"	3318	1115	"Deinococcus sp. Leaf326"	"Deinococcus"	"sp."	"Leaf326"	NA	4.60208	67.4	"4525"	4289	720.978340228766	33.6045810729355	931.969891874978
"GCA_001485435.1"	4147	1749	"Deinococcus grandis"	"Deinococcus"	"grandis"	NA	NA	4.0925	69.9	"3946"	3821	1013.31704337202	42.1750663129973	933.65913255956
"GCA_001507665.1"	3264	1284	"Deinococcus actinosclerus"	"Deinococcus"	"actinosclerus"	NA	NA	3.26433	70.6	"3216"	3073	999.898907279595	39.3382352941176	941.387666075427
"GCA_001535545.1"	5052	2137	"Thermus parvatiensis"	"Thermus"	"parvatiensis"	NA	NA	2.0161	68.4929	"2222"	1566	2505.82808392441	42.3000791765637	776.747185159466
"GCA_001623175.1"	3106	1075	"Meiothermus taiwanensis"	"Meiothermus"	"taiwanensis"	NA	NA	2.98802	63.4	"2983"	2504	1039.48434080093	34.6104314230522	838.013132442219
"GCA_001638825.1"	1981	645	"Deinococcus radiodurans R1"	"Deinococcus"	"radiodurans"	"R1"	NA	3.34477	66.6184	"3334"	3047	592.267928736505	32.5593134780414	910.974446673463
"GCA_001644565.1"	2107	794	"Deinococcus puniceus"	"Deinococcus"	"puniceus"	NA	NA	2.97198	62.6	"2771"	2681	708.95497277909	37.6839107736118	902.092207888344
"GCA_001880325.1"	5762	2405	"Thermus brockianus"	"Thermus"	"brockianus"	NA	NA	2.38827	66.9263	"2520"	2305	2412.62503820757	41.7389795209997	965.133757908444
"GCA_001949125.1"	3030	1026	"Deinococcus marmoris"	"Deinococcus"	"marmoris"	NA	NA	5.28683	64.1	"5214"	4878	573.122267975327	33.8613861386139	922.67010666127
"GCA_002017875.1"	4250	1767	"Deinococcus sp. LM3"	"Deinococcus"	"sp."	"LM3"	NA	4.36801	69.1	"4002"	3829	972.983120459889	41.5764705882353	876.600557233157
"GCA_002198095.1"	4469	1855	"Deinococcus indicus"	"Deinococcus"	"indicus"	NA	NA	4.46763	69.8	"4221"	4061	1000.30665028214	41.5081673752517	908.983062608139
"GCA_002239005.1"	1111	297	"Truepera sp. bin119"	"Truepera"	"sp."	"bin119"	NA	3.21132	62.2	"-"	NA	345.963653575477	26.7326732673267	NA
"GCA_900102145.1"	6740	2907	"Thermus arciformis"	"Thermus"	"arciformis"	NA	NA	2.4423	68.7	"2672"	2614	2759.69373131884	43.1305637982196	1070.30258363018
"GCA_900109185.1"	2653	941	"Deinococcus reticulitermitis"	"Deinococcus"	"reticulitermitis"	NA	NA	3.50113	NA	"3377"	3173	757.755353271658	35.4692800603091	906.27882997775
"GCA_900176165.1"	4541	1529	"Deinococcus hopiensis KR-140"	"Deinococcus"	"hopiensis"	"KR-140"	NA	6.65087	64.9	"6241"	5842	682.76781834557	33.6709975776261	878.381324548518
